0,540,428,2121
1,556,27,635
2,546,1656,5669
3,543,170,830
4,536,76,819
5,586,746,3125
6,635,229,1558
7,554,401,2047
8,553,369,1819
9,556,304,1680
10,533,492,1868
11,537,471,1937
12,540,190,1016
13,536,189,1032
14,540,1467,4812
15,536,216,1216
16,534,168,952
17,541,263,1370
18,537,184,1047
19,536,271,1329
20,536,37,557
21,538,818,2885
22,546,566,2265
23,539,177,1055
24,550,176,1065
25,533,514,1842
26,532,374,1850
27,540,140,1050
28,540,1124,3849
29,535,59,688
30,549,434,1856
31,532,72,815
32,537,147,954
33,541,260,1389
34,545,338,1591
35,542,5,564
36,538,536,2159
37,537,292,1551
38,537,1371,4688
39,535,458,1767
40,542,81,789
41,531,144,929
42,534,37,648
43,531,501,1847
44,531,63,758
45,550,839,3455
46,547,51,705
47,538,31,596
48,543,1650,5887
49,541,325,1504
50,535,528,2060
51,530,199,1115
52,530,79,740
53,537,68,728
54,544,874,3279
55,532,191,1099
56,538,147,1046
57,543,1457,5180
58,541,597,2611
59,541,35,618
60,540,105,768
61,536,834,3829
62,543,121,834
63,535,294,1180
64,552,284,1337
65,533,1016,3829
66,532,68,761
67,535,732,2561
68,537,29,614
69,548,271,1399
70,535,1160,3836
71,532,25,590
72,550,401,1516
73,538,316,1285
74,535,369,1588
75,532,61,723
76,535,62,762
77,534,366,1757
78,545,558,2128
79,544,137,1067
80,555,93,765
81,536,609,2510
82,540,604,2418
83,542,733,2451
84,533,386,1496
85,541,66,750
86,533,48,648
87,538,120,806
88,551,736,2689
89,539,423,1847
90,539,28,581
91,540,1323,4407
92,539,519,2030
93,536,714,2653
94,539,258,1330
95,542,192,1165
96,549,421,1959
97,539,52,693
98,545,619,2664
99,555,14,576
100,545,647,2729
101,543,225,1301
102,535,644,2399
103,540,116,846
104,543,63,732
105,538,347,1537
106,530,319,1323
107,539,1019,3554
108,543,258,1186
109,542,363,1736
110,535,217,1258
111,545,23,545
112,538,236,1347
113,541,219,1071
114,548,1461,4575
115,539,47,579
116,537,146,1011
117,535,199,1140
118,545,11,585
119,541,50,731
120,538,150,936
121,554,262,1083
122,533,104,871
123,530,54,664
124,540,805,2683
125,545,103,849
126,537,317,1591
127,533,39,666
128,538,363,1758
129,541,957,3755
130,534,526,1930
131,539,360,1697
132,544,148,942
133,535,465,1835
134,540,128,955
135,537,270,1256
136,540,144,902
137,542,1495,4678
138,535,1070,3766
139,533,293,1251
140,532,87,815
141,540,66,730
142,537,5,557
143,534,22,593
144,539,161,843
145,539,1176,4542
146,540,270,1316
147,541,103,1014
148,539,626,2522
