0,600,428,2326
1,564,27,654
2,563,1656,5799
3,560,170,855
4,551,76,844
5,683,746,2829
6,599,229,1962
7,558,401,2080
8,560,369,1858
9,559,304,1711
10,552,492,1926
11,555,471,1989
12,557,190,1043
13,555,189,1060
14,557,1467,4917
15,559,216,1258
16,556,168,985
17,561,263,1410
18,657,184,1330
19,551,271,1376
20,554,37,576
21,554,818,2978
22,556,566,2295
23,551,177,1081
24,559,176,1084
25,550,514,1885
26,553,374,1908
27,562,140,1088
28,563,1124,3950
29,558,59,716
30,561,434,1909
31,559,72,854
32,561,147,994
33,560,260,1449
34,560,338,1638
35,562,5,586
36,560,536,2241
37,556,292,1612
38,561,1371,4849
39,563,458,1831
40,565,81,821
41,556,144,973
42,561,37,680
43,556,501,1924
44,556,63,793
45,562,839,3569
46,564,51,725
47,558,31,621
48,559,1650,6093
49,562,325,1557
50,560,528,2143
51,554,199,1159
52,556,79,773
53,562,68,759
54,558,874,3382
55,557,191,1124
56,560,147,1093
57,561,1457,5370
58,563,597,2701
59,555,35,636
60,555,105,790
61,564,834,3968
62,559,121,852
63,553,294,1214
64,560,284,1356
65,554,1016,3960
66,551,68,787
67,554,732,2628
68,547,29,628
69,556,271,1428
70,551,1160,3956
71,550,25,611
72,561,401,1552
73,552,316,1308
74,560,369,1644
75,550,61,747
76,552,62,789
77,551,366,1808
78,558,558,2190
79,559,137,1085
80,558,93,773
81,554,609,2588
82,558,604,2502
83,558,733,2522
84,553,386,1540
85,555,66,770
86,551,48,670
87,549,120,823
88,564,736,2759
89,552,423,1885
90,557,28,599
91,554,1323,4442
92,557,519,2065
93,556,714,2736
94,553,258,1367
95,561,192,1204
96,581,421,2099
97,586,52,751
98,587,619,2880
99,587,14,609
100,584,647,2923
101,597,225,1417
102,583,644,2611
103,588,116,920
104,591,63,799
105,584,347,1671
106,584,319,1448
107,591,1019,3864
108,592,258,1291
109,591,363,1882
110,583,217,1362
111,595,23,595
112,587,236,1469
113,592,219,1169
114,584,1461,4954
115,588,47,632
116,590,146,1108
